Kleidungsstück,Kosten,Entscheidung,Organisatorischer Aufwand,AltesKleidungsstück,Bewertung
Hose,"50,00","2,00",12,2,2400
T-Shirt,"4,00","2,00",10,2,160
Hose,"50,00","1,00",25,3,3750
Rock,"20,00","2,00",40,4,6400
Weste,"15,00","1,00",10,2,300
Hose,"30,00","3,00",12,1,1080
Rock,"30,00","2,00",45,2,5400
Kleid,"120,00","2,00",30,2,14400
Rock,"20,00","1,00",30,2,1200
Hose,"50,00","2,00",5,3,1500
Bluse,"12,00","3,00",10,1,360
T-Shirt,"12,50","1,00",12,4,600
Rock,"30,00","2,00",50,1,3000
Rock,"10,00","3,00",5,2,300
T-Shirt,"12,50","1,00",50,1,625
Hose,"30,00","1,00",30,3,2700
Kleid,"40,00","2,00",40,2,6400
Rock,"30,00","3,00",12,4,4320
T-Shirt,"12,50","1,00",12,3,450
Weste,"45,00","1,00",30,2,2700
Bluse,"35,00","3,00",10,4,4200
Bluse,"18,00","1,00",35,3,1890
Kleid,"120,00","2,00",10,2,4800
Rock,"30,00","1,00",10,3,900
Bluse,"18,00","1,00",20,2,720
Rock,"20,00","2,00",10,4,1600
Weste,"45,00","3,00",10,3,4050
Hose,"20,00","3,00",20,1,1200
Hose,"20,00","1,00",5,3,300
Weste,"15,00","1,00",50,1,750
Kleid,"20,00","1,00",12,3,720
Bluse,"12,00","1,00",45,2,1080
T-Shirt,"15,00","2,00",30,3,2700
Kleid,"20,00","2,00",20,2,1600
Rock,"10,00","1,00",5,2,100
Rock,"10,00","3,00",25,2,1500
Kleid,"120,00","1,00",35,3,12600
Kleid,"40,00","2,00",35,2,5600
Kleid,"20,00","1,00",50,4,4000
Rock,"20,00","1,00",45,1,900
Bluse,"12,00","3,00",35,4,5040
Weste,"45,00","2,00",30,2,5400
Weste,"15,00","1,00",50,4,3000
Rock,"10,00","3,00",20,3,1800
Hose,"30,00","1,00",12,1,360
Hose,"30,00","1,00",40,4,4800
Kleid,"120,00","3,00",10,1,3600
Bluse,"35,00","3,00",25,4,10500
Hose,"20,00","1,00",5,1,100
T-Shirt,"15,00","2,00",30,2,1800
Rock,"30,00","3,00",25,4,9000
Hose,"50,00","1,00",20,1,1000
Hose,"30,00","2,00",20,2,2400
Bluse,"35,00","2,00",50,1,3500
Bluse,"12,00","3,00",5,4,720
Weste,"45,00","2,00",45,3,12150
Kleid,"20,00","1,00",40,1,800
Kleid,"40,00","1,00",30,3,3600
Weste,"25,00","2,00",20,3,3000
Kleid,"20,00","1,00",40,4,3200
Bluse,"18,00","2,00",45,3,4860
T-Shirt,"15,00","2,00",50,4,6000
Weste,"25,00","2,00",10,3,1500
Kleid,"40,00","1,00",50,1,2000
Weste,"15,00","2,00",30,1,900
Kleid,"120,00","3,00",35,4,50400
Kleid,"120,00","1,00",45,4,21600
Hose,"20,00","1,00",10,2,400
Bluse,"18,00","1,00",20,2,720
Kleid,"20,00","1,00",35,1,700
Kleid,"20,00","2,00",10,1,400
Hose,"20,00","2,00",20,1,800
Hose,"30,00","1,00",40,2,2400
Rock,"20,00","3,00",40,2,4800
T-Shirt,"15,00","2,00",20,3,1800
Rock,"10,00","2,00",10,1,200
Rock,"10,00","2,00",45,4,3600
Kleid,"40,00","2,00",30,1,2400
Bluse,"18,00","1,00",35,4,2520
Hose,"20,00","1,00",50,1,1000
Kleid,"20,00","1,00",25,3,1500
Bluse,"18,00","3,00",30,2,3240
Weste,"45,00","1,00",50,2,4500
Kleid,"120,00","2,00",5,1,1200
Hose,"50,00","1,00",12,3,1800
Kleid,"120,00","1,00",12,3,4320
Hose,"50,00","2,00",30,3,9000
T-Shirt,"12,50","1,00",35,3,"1312,5"
Bluse,"18,00","1,00",5,3,270
T-Shirt,"12,50","1,00",25,1,"312,5"
Hose,"30,00","2,00",10,3,1800
Rock,"10,00","1,00",5,3,150
Weste,"25,00","3,00",40,1,3000
Kleid,"40,00","3,00",35,3,12600
T-Shirt,"12,50","2,00",12,4,1200
Kleid,"40,00","1,00",12,4,1920
T-Shirt,"12,50","1,00",12,2,300
Hose,"30,00","2,00",50,4,12000
Bluse,"35,00","1,00",40,3,4200
Kleid,"40,00","2,00",35,1,2800
